cashtag,id,source,spans,Predicted Sentiment Score
$cost,709723193125175300,twitter,consumers keep cautious stance,-0.13986817002296448
$ctrp,719529094652698600,twitter,close $ctrp @46.16 from 43.55 entry +6%;$;+6%,-0.03393572196364403
$intc,39048670,stocktwits,every reason to be bullish,0.9752833247184753
$panw,37048093,stocktwits,$panw need anoth $1 to all time high,-0.4781375825405121
$jrcc,6207860,stocktwits,long setup,0.9760486483573914
$sbux,719911771625140200,twitter,will be a solid long term investmen;$;#passive;$;also added $sbux today;$; #income,0.9788264632225037
$tsla,719571433307955200,twitter,recall,0.569155752658844
$mar,711874651043926000,twitter,marriott wins new starwood deal by raising cash portion of bid,0.9774746894836426
$abbv,719559500852662300,twitter,time to embrace dividend growth,0.9590975642204285
$ms,709737853639663600,twitter,bullshit! all #applestores are empty in #china;$;$ms must be preparing to liquidate $aapl,0.17102691531181335
$bjri,30084443,stocktwits,5-star analyst robert derrington from wunderlich reiterated a buy,0.9668923020362854
$aapl,711948847971307500,twitter,excited;$;big +value;$;hoping,0.6065575480461121
$mcd,710211237058093000,twitter,oil to break out;$;adding chevron,0.946022093296051
$gwph,709777793798656000,twitter,unusual call activity,0.9795203804969788
$qunr,719917003033681900,twitter,china's tourist bonanza isn't going anywhere,0.40161213278770447
$esi,39047884,stocktwits,0.15,0.6065575480461121
$tsla,719590251891658800,twitter,not guaranteed,0.6065575480461121
$hyg,32349177,stocktwits,potential continuation uptrend,0.9731559157371521
$amzn,5933426,stocktwits,longed,0.6065575480461121
$mw,17892972,stocktwits,absolute garbage still up;$;stores totally empty;$;stock mispriced,0.6071646809577942
$mstx,22409313,stocktwits,buy the dip',0.8577746748924255
$tsla,719895099300139000,twitter,weakest in todays dt watchlist,0.9533323645591736
$fb,719533378698100700,twitter,we see more reasons to be cautious,-0.45555025339126587
$dara,11685342,stocktwits,breaking out,0.8951207995414734
$gs,38563467,stocktwits,$bbry smack down looks legitimate;$;$gs $ms;$;are playing ignorant,0.8094286322593689
$bac,8472562,stocktwits,in for swing trade;$;looks like want go up,0.6438372135162354
$amzn,719796218071621600,twitter,,0.6065575480461121
$spy,5866181,stocktwits,add short,0.5278530716896057
$dvax,26553639,stocktwits,nice..,0.9315221309661865
$endp,719571926285312000,twitter,verified $98.95 loss in $endp trades,0.6065575480461121
$vmw,5453104,stocktwits,loving the volume,0.719111442565918
$fb,708381004180795400,twitter,hod;$;buyers stepped in,0.6065575480461121
$bidu,5960481,stocktwits,clearing back above 50 day;$;next buy / add area when clears this upper trend line on volume,0.9765751957893372
$cost,709780511200317400,twitter,eems to be respecting channel,0.9335443377494812
$cpgx,708355634857529300,twitter,sector stocks leading today,0.9536963105201721
$intc,709741154393133000,twitter,overbought,-0.5692712664604187
$fb,719515248571473900,twitter,now look at $fb live video rollout;$;tough space.,0.5532892942428589
$unxl,29666346,stocktwits,kodak could pick it up before christmas to write it off in their taxes,0.9497175216674805
$aapl,15981627,stocktwits,they'll whip it back down,0.4595656096935272
$endp,719573068864032800,twitter,plus its irish based;$; getting rid of its generic biz,0.4087381064891815
$vprt,5379023,stocktwits,over 30.37,0.6065575480461121
$amp,710965451677827100,twitter,top #netpayoutyields,0.968237578868866
$amrn,24697241,stocktwits,got sell signal 7/1/14 still in force with target below 1.50,-0.1012788861989975
$goog,5853626,stocktwits,buy;$;not the end of the world,0.732449471950531
$plug,34103560,stocktwits,future is bright,0.6065575480461121
$bbry,29364798,stocktwits,bulls be careful,0.45818573236465454
$kgc,15349675,stocktwits,in at 577 added at 576 after p/b,0.9625991582870483
$twtr,710475186353475600,twitter,may be ripe for a #takeover targe,0.9309980273246765
$ogs,719732320404709400,twitter,top 5 stock picks,0.9703100323677063
$aapl,35980487,stocktwits,tomorrow morning will likely open north,0.9391353726387024
$hyg,710863854381563900,twitter,unusual call activity,0.9795203804969788
$uso,719493174167625700,twitter,iraq boosts oil production to record,0.9378904104232788
$aapl,7867073,stocktwits,failed breakouts & failed setups;$;limping on crutches into next week,0.1244179978966713
$ra,8562689,stocktwits,take-over interest,0.27909228205680847
$insy,719538296204959700,twitter,$endp shares rattled,0.703630805015564
$csx,719498634803458000,twitter,buy csx to ride the railroads,0.8722094297409058
$fb,719524328363073500,twitter,out of $fb into $aapl,-0.02645450457930565
$bbby,27121711,stocktwits,downgrade before er,-0.6002222895622253
$db,719881403970818000,twitter,good opportunity to buy,0.9646205306053162
$insy,719507659741872100,twitter,$insy lower,-0.3382745087146759
$jpm,719535506980266000,twitter,nice day rally!,0.9713807702064514
$fb,719881985909350400,twitter,popping up to hod,0.9591572880744934
$crox,24458298,stocktwits,large players are selling,-0.17360667884349823
$scty,17782586,stocktwits,finally broke free from big brother's shadow?,0.6972114443778992
$aapl,5497092,stocktwits,buy back shares,0.8364475965499878
$ntrs,38224737,stocktwits,"insider trading: clair st unloaded 5,838 shares",0.9319558143615723
$vz,36006797,stocktwits,files lawsuit against verizon,0.6065575480461121
$googl,719571596462133200,twitter,looks to have a solid 2016;$;high-teens eps growth,0.9791161417961121
$sune,709411365299982300,twitter,$fit and $sune have not changed.,0.6065575480461121
$sbux,719550842475393000,twitter,doubled the number,0.893699586391449
$kndi,23547862,stocktwits,that is a positive as top notch investor dd can be trusted,0.9681117534637451
$msft,6178538,stocktwits,the best stocks for 2012,0.9450156688690186
$siri,719508310207111200,twitter,added;$;new subscribers,0.6065575480461121
$nflx,719535831040401400,twitter,market seems like it's about to roll over here;$;look out below!,-0.5429939031600952
$aapl,30856626,stocktwits,apple's category to win,0.6065575480461121
$imrs,31132360,stocktwits,"bullish story intact,evenif the market rolls over",0.19410720467567444
$onty,37935490,stocktwits,continues to base as debate linger;$;downside limited,0.8810955286026001
$nflx,719532032305573900,twitter,our updated #core4 portfolio,0.9607169032096863
$vnda,37892470,stocktwits,"after this news, it has nothing left. don't keep it anymor",0.20702283084392548
$disca,719614954500857900,twitter,highest call to put ratio,0.975120484828949
$pdco,708410688230842400,twitter,top-rated,0.6065575480461121
$gs,17785769,stocktwits,current holdings via options;$;long:,0.6065575480461121
$wm,719551394798268400,twitter,watchlist top stocks,0.9697771072387695
$aapl,11875799,stocktwits,could be testing $425 in days,0.743011474609375
$bhp,5514207,stocktwits,$bhp +3.04%,0.6065575480461121
$dia,37450150,stocktwits,time to stomp on some dreams.,-0.26338517665863037
$dust,719915914120921100,twitter,sold all:,-0.5588229894638062
$edu,9738169,stocktwits,arrg no go i am out of round #2,0.7688071727752686
$aapl,8213941,stocktwits,short term fund/redemption liquidations,-0.2942759096622467
$fb,719861575759372300,twitter,$fb down 7.5% from this #bearish pattern;$;impressive bearish move,-0.5055657029151917
$sne,31143613,stocktwits,largest online gaming market,0.6503089070320129
$goog,709176395461750800,twitter,would like to see upside break in channel this week,0.9757205843925476
$eur,5835477,stocktwits,european debt once again keeps stocks down,-0.02499723806977272
$mflx,6445155,stocktwits,lookin 4 short opt here,-0.509239912033081
$fb,719726286227132400,twitter,long on $fb,0.9640281796455383
$ais,5784142,stocktwits,still no real movement;$;i'm on the sidelines,0.6071646809577942
$vxx,31518357,stocktwits,another great day with millions in gain;$;shorts get caught in the tall grass,0.5349744558334351
$kbe,5398884,stocktwits,moves up to my tr1 long watchlist.,0.9741488099098206
$aapl,8351517,stocktwits,a laggard;$;nothing to get excited about imo;$;is underperforming the market,0.41132834553718567
$goog,719905344957222900,twitter,"google, ibm, arm and amd begin the assault on intel's server franchise",0.7007904052734375
$nflx,719644552047362000,twitter,weak outlook,-0.7789943218231201
$aapl,33623906,stocktwits,will join dow jones this month'replacing,0.6065575480461121
$vz,719909604654624800,twitter,most bullish stocks on twitter during this dip,0.9769192934036255
$tsla,719582832541179900,twitter,red,-0.3265834152698517
$mar,719546315332546600,twitter,being accumulated all day,0.7355526685714722
$abc,711113383341199400,twitter,ses warrants to buy $1.17b & 14.97% of amerisourcebergen(pbr16) shares,0.8913307785987854
$aapl,719493174167625700,twitter,iraq boosts oil production to record,0.9378904104232788
$mnk,709834259687710700,twitter,biggest market losers,-0.5613110661506653
$bbby,719528163596873700,twitter,added more $bbby;$;still a very profitable merchant with profitable stores,0.9625991582870483
$iff,29289791,stocktwits,stochastic sell signal,-0.6530960202217102
$stld,37312789,stocktwits,huge buy in all these names,0.9686397910118103
$gild,36297090,stocktwits,max pain = 101.00,0.6065575480461121
$oil,5422915,stocktwits,$oil +2.76%,0.7897130846977234
$aapl,32728385,stocktwits,everyone is buying calls eod friday,0.9722214341163635
$wmt,709723193125175300,twitter,consumers keep cautious stance,-0.13986817002296448
$slv,11204903,stocktwits,but decent supt here-expect some upside,0.9062729477882385
$amzn,19607999,stocktwits,swing short,0.16921654343605042
$flt,709779449663721500,twitter,short setups looking nice....really nice,-0.24848181009292603
$ul,19388705,stocktwits,new 'large player sells',0.5503993630409241
$bbry,12800394,stocktwits,must be very exciting to have it,0.6065575480461121
$uup,5526621,stocktwits,"down on the day, the week, the month, and the year",0.879787027835846
$aapl,11983857,stocktwits,$aapl interesting that all these positive stories are coming out the past few day,0.9752985835075378
$vg,719644552047362000,twitter,plunged,0.6065575480461121
$iwc,7399381,stocktwits,equity indexes working on a positive engulfing for march,0.9774887561798096
$beat,20469877,stocktwits,hope your not short,0.08247767388820648
$hd,709723193125175300,twitter,consumers keep cautious stance,-0.13986817002296448
$tna,12196849,stocktwits,with upcoming first support in a few days or weeks!,0.7845466732978821
$spy,9416020,stocktwits,earnings growth looks dim;$; current multiple high,0.971469521522522
$wmt,9742736,stocktwits,multi-year stock breakouts,0.9449461698532104
$fb,710525327072583700,twitter,timing is everything and the time is now for canna security america,-0.26338517665863037
$yhoo,719587542337720300,twitter,could see a nice pop if bids come in higher than expected,0.9795449376106262
$amcn,18567587,stocktwits,pushing highs,0.9659357070922852
$fb,719525586863988700,twitter,turns back down in early trading,0.8738002777099609
$hitk,5582309,stocktwits,resuming advance into new historical highs,0.967646062374115
$ppg,9358281,stocktwits,i am liking it for an upside break,0.9659388065338135
$spx,5419254,stocktwits,not so pretty longer look,0.7151913642883301
$oil,29685449,stocktwits,oil slid to a four-year low after;$;#opec kept its oil production unchange,0.0927262157201767
$spy,708375808793026600,twitter,flat week,0.9086010456085205
$fb,22100916,stocktwits,eod run :),0.7338107824325562
$tsla,17454753,stocktwits,long,0.9720503687858582
$fxe,719530996681568300,twitter,another sell rating,-0.3684413433074951
$tsla,719562665081737200,twitter,aapl could jump 50% partnering with tsla,-0.5212453603744507
$nke,709776718026768400,twitter,china february retail sales: e-commerce remains resilient,0.9689120650291443
$rost,719732320404709400,twitter,top 5 stock picks,0.9703100323677063
$siri,18183440,stocktwits,long!!,0.9720503687858582
$cdti,21026010,stocktwits,today's momentum movers,0.9737078547477722
$vrx,709731726726193200,twitter,the most trending,0.9514548778533936
$fb,719891468173844500,twitter,looking for a strong bounce;$;lunchtime rally coming,0.9778555631637573
$wfc,719599977480253400,twitter,stocks higher in afternoon trade,0.9531703591346741
$amzn,709787137881858000,twitter,time to go long $amzn?,0.9618640542030334
$aig,719888646241955800,twitter,first quarter is amazing,0.977295458316803
$ftnt,37048093,stocktwits,$ftnt new high..,0.6894490718841553
$fb,719576182941958100,twitter,technology;$;help users,0.9273112416267395
$aapl,13152807,stocktwits,next resistance should be around,0.956703782081604
$tsla,719520260181909500,twitter,bulls defend,0.9233843088150024
$aapl,719753696339472400,twitter,has broken its downtrend,0.6065575480461121
$sbux,719872154641244200,twitter,slips on downgrade,-0.6002222895622253
$bita,709389876295110700,twitter,long,0.9720503687858582
$crm,719849703106551800,twitter,pie in the sky,0.9746528267860413
$sbux,9162226,stocktwits,hottest part of tech;$;$sbux deal,0.9574819803237915
$rimm,5386257,stocktwits,its a great company;$;needs buyers,0.6873839497566223
$spy,719515579372077000,twitter,added long at friday close,0.9790001511573792
$tlt,22780978,stocktwits,$ief bullish. $tlt too.,0.9383860230445862
$uvxy,11238707,stocktwits,back in the saddle again,0.4595656096935272
$qqq,710158462253142000,twitter,"if one is to go long, money rotating into large cap tech",0.9770632386207581
$googl,719616495962067000,twitter,seeing competition,0.6065575480461121
$c,719533378698100700,twitter,we see more reasons to be cautious,-0.45555025339126587
$acad,8499556,stocktwits,up another .03 in ah;$;it has a long way to go to find resistence,0.9783381223678589
$qjpn,38895736,stocktwits,3 top japan etfs to surge higher in 2h,0.9784998893737793
$wsm,709777793798656000,twitter,unusual call activity,0.9795203804969788
$aapl,13024560,stocktwits,"ron johnson tried, and failed, to inject a bit of apple culture into jc penney",-0.20037105679512024
$cost,719506353421709300,twitter,a premier retail dividend play,0.9706352353096008
$bb.ca,35257107,stocktwits,blackberry messenger is second only to facebook in user loyalty,0.9787015318870544
$arna,8260657,stocktwits,up for sale!,0.6065575480461121
$adbe,710827150266355700,twitter,nice fade from the bell,0.9315221309661865
$asmb,39047349,stocktwits,stochastic overbought,-0.7235536575317383
$wfm,709765994416365600,twitter,$wfm may feel price competition,0.9625402688980103
$tsla,719534447771697200,twitter,users on vetr are bearish;$;indicating a sell rating,0.17763081192970276
$aapl,709743356428025900,twitter,up 1%,-0.07543246448040009
$chmt,10602596,stocktwits,breakouts,0.9202630519866943
$tsla,719571428060766200,twitter,recall,0.569155752658844
$alr,39047349,stocktwits,stochastic overbought,-0.7235536575317383
$aapl,719796218071621600,twitter,sell rating;$;in need of innovation,-0.42556503415107727
$bac,10920221,stocktwits,buying opportunity,0.954488217830658
$tsla,710142505493405700,twitter,will like $tsla to the end,-0.158828467130661
$spls,14140852,stocktwits,google will soon start selling chromebooks at walmart and staples,0.9170374274253845
$aapl,6267912,stocktwits,analysts have the martian orders way too high theyll never hit it!,0.9376397132873535
$jd,709973585226571800,twitter,massive new $jd headquarters;$;not much slowdown to be detected,-0.17387957870960236
$spy,5721348,stocktwits,nice little cup-and-handle shaping up;$;favours a good day for the index,0.9747846126556396
$chkp,719849703106551800,twitter,pie in the sky,0.9746528267860413
$dnkn,25571322,stocktwits,inside week buy triggers,0.955297589302063
$fast,5441240,stocktwits,stocks insiders are bullish on,0.9585883617401123
$vvus,9982140,stocktwits,moving up again,0.7155019044876099
$twtr,708406053973659600,twitter,recessions;$;declines,0.6065575480461121
$goog,719693593066258400,twitter,google dividend - 0%,0.9410533905029297
$mvis,5614354,stocktwits,gets nasdaq delisting notice;$;board will quit diluting the shares,0.6929371356964111
$stx,32427089,stocktwits,quality stocks with high cash returns,0.9743155241012573
$ire,15946770,stocktwits,is it finally the right time to invest in national bank of greece?;$;$ire,-0.6404931545257568
$tsla,709431643363213300,twitter,loves what it sees,0.6065575480461121
$yhoo,719535209423593500,twitter,bounce & retreats;$;not short by any means,0.32618623971939087
$spy,14655289,stocktwits,still wants higher i think.,0.3060781955718994
$pcln,28061995,stocktwits,crazy market up down up down up down,0.6503089070320129
$loco,25571322,stocktwits,inside week buy triggers,0.955297589302063
$nihd,7040295,stocktwits,insiders got this one wrong;$;looking for bottom;$;rsi under 30,-0.11125993728637695
$ibb,24815315,stocktwits,good comeback,0.6751232147216797
$sh,709411365299982300,twitter,$sh has got potential,0.9574351906776428
$sbux,719891971360165900,twitter,eading for the 200dma and certain doom,0.6065575480461121
$axp,710211237058093000,twitter,oil to break out;$;adding chevron,0.946022093296051
$tsla,21024991,stocktwits,stopped out,0.6065575480461121
$hal,32349177,stocktwits,potential continuation uptrend,0.9731559157371521
$nbg,39048817,stocktwits,spikes its lows;$;lower it will go,0.6975034475326538
$amba,34122674,stocktwits,$amba down,0.6065575480461121
$aapl,719615643918577700,twitter,its a must buy,0.8722094297409058
$adbe,21174505,stocktwits,"$adbe shorted, there was only 1% short float",-0.5889896750450134
$aapl,25032300,stocktwits,me gusta,0.6065575480461121
$isrg,708399906990329900,twitter,rally friday!;$;#new52weekhighs;$;p over 31%,0.9098409414291382
$tsla,719572285170933800,twitter,$tsla in the news - not good,0.16852878034114838
$bita,32753195,stocktwits,delivering the goods again let's see if that can spill over in other chinese internet names,0.902704119682312
$nflx,5806487,stocktwits,companies shld be worried about icloud,-0.6684211492538452
$goog,13088382,stocktwits,,0.6065575480461121
$dal,719864087132442600,twitter,gevoãƒâ¢ã¢â€šâ¬ã¢â€žâ¢s alcohol to jet fuel now eligible to be used for commercial flight,0.978213906288147
$fb,709758795648409600,twitter,$fb gone green on day,0.9660525321960449
$incy,7737263,stocktwits,$incy +100,0.6065575480461121
$uwti,719493174167625700,twitter,iraq boosts oil production to record,0.9378904104232788
$f,19500150,stocktwits,expects earnings to maintain healthy growth in the year ahead;$;the companyãƒâ¢ã¢â€šâ¬ã¢â€žâ¢s share price gained,0.9649208188056946
$aapl,10413981,stocktwits,sees downside to $425,0.6065575480461121
$ctxs,719467784007192600,twitter,citrix systems inc $ctxs position increased by mizuho,0.9642071723937988
$fb,9999828,stocktwits,nice buyable intraday dip right here,0.32068485021591187
$spy,719864087132442600,twitter,gevoãƒâ¢ã¢â€šâ¬ã¢â€žâ¢s alcohol to jet fuel now eligible to be used for commercial flight,0.978213906288147
$msft,17610673,stocktwits,will lose at least $1b;$;may not be profitable for another year or so after that,0.3994469940662384
$gmcr,5554666,stocktwits,waterfall ahead?,0.7004110813140869
$vxx,710863854381563900,twitter,unusual call activity,0.9795203804969788
$dis,719535506980266000,twitter,nice day rally!,0.9713807702064514
$bbry,38563467,stocktwits,$bbry smack down looks legitimate;$;$gs $ms;$;are playing ignorant,0.8094286322593689
$gd,5795737,stocktwits,13f shows new stakes in,0.6664752960205078
$aapl,14756968,stocktwits,$aapl;$;had a big growing success for years,0.9125841856002808
$csco,708416296665399300,twitter,still have positive market bias;$;sharp rally in low-quality stocks points to ongoing market gains,0.977203369140625
$nflx,710060125063614500,twitter,sell ;$;$nflx,0.4853118062019348
$frs,15928669,stocktwits,$frs #restaurants 24.75+9%,0.6065575480461121
$csco,719661137411747800,twitter,cuts outlook down,-0.6497719287872314
$fb,719519136318169100,twitter,cracking lower early;$;$short;$;#correction,-0.3382745087146759
$v,17785769,stocktwits,current holdings via options;$;long:,0.6065575480461121
$stx,719720776027353100,twitter,biggest gainers today large caps,0.974057674407959
$ctxs,710532117164232700,twitter,new macd signal created on,0.6727674007415771
$aapl,12799689,stocktwits,$aapl cleary surpassed their bb,0.17102691531181335
$aapl,8123917,stocktwits,broke descending channel,0.9422838091850281
$goog,709362616578154500,twitter,more complex challenges,0.6065575480461121
$spy,710822084579086300,twitter,markets back in black for 2016,0.965756356716156
$sid,709834259687710700,twitter,biggest market losers,-0.5613110661506653
$nok,12790708,stocktwits,nice pop today;$;told ya we would be green,0.9782500863075256
$sbux,719873426136150000,twitter,deutsche bank downgraded starbucks co,-0.44906163215637207
$ams,719609967565803500,twitter,$ams (ahold) has 5%,0.7248343825340271
$kors,8308437,stocktwits,should rise again 2morrow,0.8881258368492126
$kgc,24504842,stocktwits,looking to add a gold miner and possibly lower pe tech name into close,0.9685809016227722
$ziop,37340646,stocktwits,sucker rallies;$;down trend,0.8498395681381226
$yhoo,719620962094870500,twitter,shares climb,0.703630805015564
$ezpw,7177668,stocktwits,looks good for a few,0.8261687755584717
$aapl,12732850,stocktwits,at pivot area on intraday chart,-0.3479194939136505
$amzn,719811329922625500,twitter,diversifies risk;$;best place in the world,0.9294347167015076
$tsla,711712771675652100,twitter,i think this $tsla bubble might go on for some time,-0.6839312314987183
$yhoo,719634617465081900,twitter,private equity for yahoo bid,0.9631786942481995
$wmt,710211237058093000,twitter,oil to break out;$;adding chevron,0.946022093296051
$aal,719937548668256300,twitter,s anglo american jumps 9%,0.6065575480461121
$brcm,18038613,stocktwits,raises revenue forecast,0.21379296481609344
$spy,9393661,stocktwits,market has a lot of faith in the ecb,0.6503089070320129
$msft,31143613,stocktwits,largest online gaming market,0.6503089070320129
$jnpr,719661137411747800,twitter,cuts outlook down,-0.6497719287872314
$qcor,8746240,stocktwits,a little pullback,0.9481973052024841
$sso,5512185,stocktwits,possible target,0.9517249464988708
$hpj,30741682,stocktwits,short sighted sellers will be sorry soon,0.8633493781089783
$lpth,38028268,stocktwits,$lpth hot,0.6065575480461121
