cashtag,id,source,spans
$PVA,38793629,stocktwits,congrats to whoever bought under
$ORCL,710496429974888400,twitter,5 Best Analyst Rated Stocks
$CTRP,709398139195641900,twitter,adding $expe and $pcln to the mix soon;$;I already have $CTRP and $trip
$SPX,719493174167625700,twitter,Iraq Boosts Oil Production to Record
$SBH,7867073,stocktwits,Failed breakouts & failed setups;$;Limping on crutches into next week
$TNET,711745824884187100,twitter,
$PVA,38793629,stocktwits,congrats to whoever bought under
$NFLX,719530483898421200,twitter,$NFLX holding it's gain
$ADBE,21174505,stocktwits,"$ADBE shorted, there was only 1% short float"
$OASM,719699054645612500,twitter,Bottom Losses
$AAPL,13024560,stocktwits,"Ron Johnson tried, and failed, to inject a bit of Apple culture into JC Penney"
$AMZN,5933426,stocktwits,longed
$AMZN,719533807897047000,twitter,over 225 million new Internet users are being added globally every year
$TSLA,719562665081737200,twitter,AAPL could jump 50% partnering with Tsla
$VZ,719909604654624800,twitter,Most bullish stocks on Twitter during this dip
$YHOO,6202274,stocktwits,Board To Assess Alibaba-Softbank Proposal Further
$NFLX,710620435121971200,twitter,Top Stocks in 2015 are Ready to Lead Again in 2016
$CMG,710863854381563900,twitter,Unusual Call Activity
$IFF,29289791,stocktwits,Stochastic Sell Signal
$BLUE,719530996681568300,twitter,Another Sell Rating
$GTAT,27655637,stocktwits,the resurgence in stock price today might mean that the company may emerge stronger than ever
$HD,709723193125175300,twitter,consumers keep cautious stance
$SPY,5721348,stocktwits,Nice little cup-and-handle shaping up;$;favours a good day for the index
$TEA,10573348,stocktwits,cash & cheap financing is fueling a wave of acquisitions
$CHKP,709893877566582800,twitter,ABC Bullish Pattern
$SBRY,719563779378438100,twitter,Supermarket Stocks Rally as Tesco Plans to Axe Non-core UK Assets
$GOOG,709176395461750800,twitter,Would like to see upside break in channel this week
$XLP,13132243,stocktwits,seriously nothing says strong growth like;$;well played
$FREE,37400198,stocktwits,Heeeeeere comes the pump!;$;So glad I picked up 9K end of day!;$;Get ready for the bull ride!
$PCLN,28061995,stocktwits,Crazy market up down up down up down
$GPRO,30506310,stocktwits,Closes Near Key Support Zone
$NLSN,719900573856829400,twitter,$NLSN launching a marketing cloud
$AMZN,709803667948318700,twitter,$AMZN up 5 points from yesterday's trade entry and alert
$FB,719683753916899300,twitter,FB's a glorified scrapbook
$AAPL,719859934662365200,twitter,"A year after its launch, itÃ¢â‚¬â„¢s now clear that pretty much no one needs an $AAPL Watch"
$BHI,12767826,stocktwits,Institutions seem to like this class of stocks
$SPLS,14140852,stocktwits,Google Will Soon Start Selling Chromebooks At Walmart And Staples
$MU,6190411,stocktwits,"looking for a healthy pull back, but longterm target 8"
$JAZZ,18405590,stocktwits,I think $JAZZ has plenty of room to run and lots of momentum to continue pushing it to new highs
$AWAY,8784472,stocktwits,Needs to make a solid break thru current resistance
$IVZ,709779449663721500,twitter,Short Setups Looking Nice....Really Nice
$GOOG,709362616578154500,twitter,more complex challenges
$WDC,719544293606735900,twitter,Notable gainers among liquid option names this morning
$AAPL,33296832,stocktwits,rally mode
$MSTX,22409313,stocktwits,Buy the dip'
$GOOGL,719909604654624800,twitter,Most bullish stocks on Twitter during this dip
$COMPQ,11781180,stocktwits,all going down
$AAPL,13673151,stocktwits,people think it's safe from the market drops......NOT!!
$VG,719644552047362000,twitter,Plunged
$AREX,30827588,stocktwits,"With Oil Prices Down further, Oil Stocks Looking Less Cheap"
$TSLA,711188520115818500,twitter,so I can short
$DAL,719864087132442600,twitter,GevoÃ¢â‚¬â„¢s Alcohol to Jet Fuel Now Eligible to be Used for Commercial Flight
$SPY,7853493,stocktwits,fast 56pc dive
$VOLC,13116484,stocktwits,THIS STOCK HAS A VERY VERY VERY VERY VERY HIGH PROBABILITY OF RALLYING
$DIS,719535506980266000,twitter,Nice day rally!
$YHOO,719571725420269600,twitter,Yahoo's getting lots of attention
$GILD,709948124849115100,twitter,picked up $CALM target 57 and $GILD target 115;$; has great upside potential
$INVA,719614954500857900,twitter,Highest call to put ratio
$ECA,19034611,stocktwits,I wanted to get in this morning but missed it!
$MSFT,719627739347755000,twitter,Windows 10 is awful
$SPX,719493174167625700,twitter,Iraq Boosts Oil Production to Record
$NVDQ,15530874,stocktwits,watch for momentum above
$IMRS,31132360,stocktwits,"bullish story intact,evenif the market rolls over"
$ILMN,719523999282278400,twitter,piper Jeffries raises pt;$;I remain long
$FTNT,37048093,stocktwits,$FTNT new high..
$CSCO,719661137411747800,twitter,cuts outlook down
$ET,11107935,stocktwits,Accumulating
$FB,710060125063614500,twitter,SELL ;$;FB
$SGYP,38651699,stocktwits,Go elsewhere
$QUNR,719917003033681900,twitter,China's Tourist Bonanza Isn't Going Anywhere
$VRX,709834259687710700,twitter,Biggest Market Losers
$SA,719517217247735800,twitter,In Play Longs
$CROX,24458298,stocktwits,large players are selling
$AMZN,719533807897047000,twitter,over 225 million new Internet users are being added globally every year
$NFLX,719545628985004000,twitter,Pot. cont. Uptrend LONGERTERM
$BIDU,5960481,stocktwits,Clearing back above 50 day;$;next buy / add area when clears this upper trend line on volume
$EWH,9182739,stocktwits,Tensions grow between China and Japan
$GRPN,8067736,stocktwits,$GRPN having a much better day than $FB
$PAY,13277173,stocktwits,Still not breaking out
$TSLA,709382760092160000,twitter,can't get back above $212.20
$TSLA,711188520115818500,twitter,so I can short
$MINE,719536774821867500,twitter,Buy Call!
$GOOGL,719520383699824600,twitter,Pivotal sees 27% upside for Alphabet
$FTNT,37048093,stocktwits,$FTNT new high..
$ARIA,11025416,stocktwits,CITI even reconfirmed it's 'Outperform
$SIRI,719540465188675600,twitter,Lucrative E-Sports Opportunity
$ICLR,710594321481801700,twitter,#oversold
$CTRP,719530610193137700,twitter,breaking out
$UGAZ,31015066,stocktwits,gonna start shorting every 10%
$DUST,719915914120921100,twitter,Sold all:
$TRIP,709398151283793900,twitter,68 Calls BUYING Activity
$AMGN,719545584995029000,twitter,Big year at $AMGN
$INTC,709741154393133000,twitter,overbought
$FB,719528734299197400,twitter,"Sells 109,000 Shares of Facebook"
$RIMM,5386257,stocktwits,Its a great company;$;Needs buyers
$GOOGL,719571596462133200,twitter,looks to have a solid 2016;$;high-teens EPS growth
$HTZ,709777793798656000,twitter,Unusual Call Activity
$SPY,14655289,stocktwits,still wants higher I think.
$GOOG,710863854381563900,twitter,Unusual Call Activity
$YHOO,719571725420269600,twitter,Yahoo's getting lots of attention
